Pohlavi,Vek,Dosazeny_stupen_vzdelani,Obecny_studijni_obor(typ_skoly),Obecny_pracovni_obor,Administrativa,Doprava,Finance,IT,Kultura_a_sport,Management,Obchod,Pravo_obrana_a_ochrana,Stavebnictvi,Veda_a_vyzkum,Vychova_a_vzdelavani,Vyroba_a_provoz,Sluzby,Zdravotnictvi,Zemedelstvi_a_lesnictvi
Zena,20,Vysokoskolske_magisterske_inzenyrske,SO_Pravo_obrana_a_ochrana,PO_Pravo_obrana_a_ochrana,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Muz,28,Stredoskolske_s_maturitou,SO_Umeni_hudba_foto_film_divadlo_tanec_grafika_umel_kovar,PO_Kultura_a_sport,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,19,Stredoskolske_s_maturitou,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Zena,26,Vysokoskolske_magisterske_inzenyrske,SO_Informatika_a_management,PO_Administrativa,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,21,Vysokoskolske_bakalarske,SO_Obchod_a_ekonomie,PO_Administrativa,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Zena,44,Vyssi_odborne,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Zena,20,Vysokoskolske_magisterske_inzenyrske,SO_Stavebnictvi,PO_Stavebnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01
Zena,24,Vysokoskolske_bakalarske,SO_Pedagogika_ucitelstvi_telovychova,PO_Vychova_a_vzdelavani,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01
Zena,24,Vyssi_odborne,SO_Prirodni_vedy_chemie_fyzika_matematika,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Zena,55,Vysokoskolske_magisterske_inzenyrske,SO_Pedagogika_ucitelstvi_telovychova,PO_Vychova_a_vzdelavani,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01
Muz,22,Stredoskolske_s_maturitou,SO_Informatika_a_management,PO_Obchod_a_cestovni_ruch,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Muz,45,Vysokoskolske_bakalarske,SO_Filosofie_politologie_psychologie_historie_sociologie_verejnasprava_a_ostatni_hum_a_soc_obory,PO_Kultura_a_sport,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Muz,23,Vysokoskolske_bakalarske,SO_Obchod_a_ekonomie,PO_Management,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Muz,56,Vysokoskolske_magisterske_inzenyrske,SO_Obchod_a_ekonomie,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Zena,29,Vysokoskolske_magisterske_inzenyrske,SO_Prirodni_vedy_chemie_fyzika_matematika,PO_Vychova_a_vzdelavani,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01
